First Name,Middle Name,Last Name,Phonetic First Name,Phonetic Middle Name,Phonetic Last Name,Name Prefix,Name Suffix,Nickname,File As,Organization Name,Organization Title,Organization Department,Birthday,Notes,Photo,Labels,E-mail 1 - Label,E-mail 1 - Value,E-mail 2 - Label,E-mail 2 - Value,E-mail 3 - Label,E-mail 3 - Value,Phone 1 - Label,Phone 1 - Value,Phone 2 - Label,Phone 2 - Value,Phone 3 - Label,Phone 3 - Value,Phone 4 - Label,Phone 4 - Value,Phone 5 - Label,Phone 5 - Value,Address 1 - Label,Address 1 - Formatted,Address 1 - Street,Address 1 - City,Address 1 - PO Box,Address 1 - Region,Address 1 - Postal Code,Address 1 - Country,Address 1 - Extended Address,Address 2 - Label,Address 2 - Formatted,Address 2 - Street,Address 2 - City,Address 2 - PO Box,Address 2 - Region,Address 2 - Postal Code,Address 2 - Country,Address 2 - Extended Address,Address 3 - Label,Address 3 - Formatted,Address 3 - Street,Address 3 - City,Address 3 - PO Box,Address 3 - Region,Address 3 - Postal Code,Address 3 - Country,Address 3 - Extended Address,Relation 1 - Label,Relation 1 - Value,Relation 2 - Label,Relation 2 - Value,Relation 3 - Label,Relation 3 - Value,Relation 4 - Label,Relation 4 - Value,Relation 5 - Label,Relation 5 - Value,Relation 6 - Label,Relation 6 - Value,Relation 7 - Label,Relation 7 - Value,Website 1 - Label,Website 1 - Value,Event 1 - Label,Event 1 - Value,Event 2 - Label,Event 2 - Value,Custom Field 1 - Label,Custom Field 1 - Value,Custom Field 2 - Label,Custom Field 2 - Value,Custom Field 3 - Label,Custom Field 3 - Value,Custom Field 4 - Label,Custom Field 4 - Value,Custom Field 5 - Label,Custom Field 5 - Value,Custom Field 6 - Label,Custom Field 6 - Value
,,,,,,,,,,Redwood High (MCOE),,Marin Office of Education - Special Education School,,,,Imported on 11/24 2 ::: School Locations ::: * myContacts,,,,,,,School Office,415-388-3292 x 5810,,,,,,,,,School,"395 Doherty Drive
Larkspur, Tamalpais Union High School District 94939
USA",395 Doherty Drive,Larkspur,,Tamalpais Union High School District,94939,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,Marin Pupil Transportation Agency,Address 1 - State,CA,,,,,,,,
,,,,,,,,,,Lucas Valley Elementary,,Miller Creek School District,,,,Imported on 11/24 2 ::: School Locations ::: * myContacts,,,,,,,School Office,415.492.3730,,,,,,,,,School,"1175 Idylberry Road
San Rafael, Miller Creek School District 94903
USA",1175 Idylberry Road,San Rafael,,Miller Creek School District,94903,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,Miller Creek School District,Address 1 - State,CA,,,,,,,,
,,,,,,,,,,Lu Sutton Elementary,,Bridge Program Classroom,,,,School Contacts ::: Imported on 11/24 ::: Teachers ::: * myContacts,,,,,,,CA,415.492.3730,,,,,,,,,School,"1800 Center Road
Novato, Novato Unified School District 94947
USA",1800 Center Road,Novato,,Novato Unified School District,94947,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,Novato Unified School District,,,,,,,,,,
,,,,,,,,,,Manor Elementary,,Ross Elementary School District,,,,Imported on 11/24 2 ::: School Locations ::: * myContacts,,,,,,,School Office,415.492.3730,,,,,,,,,School,"150 Oak Manor Dr
Fairfax, Ross Valley Schools 94930
USA",150 Oak Manor Dr,Fairfax,,Ross Valley Schools,94930,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,Ross Elementary School District,Address 1 - State,CA,,,,,,,,
,,,,,,,,,,Lu Sutton Elementary,,Novato Unified School District,,,,Imported on 11/24 2 ::: School Locations ::: * myContacts,,,,,,,School Office,415.492.3730,,,,,,,,,School,"1175 Idylberry Road
San Rafael, Novato Unified School District 94903
USA",1175 Idylberry Road,San Rafael,,Novato Unified School District,94903,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,Novato Unified School District,Address 1 - State,CA,,,,,,,,
,,,,,,,,,,A Better Chance School,,Autism Non-Public school,,,,Imported on 11/24 2 ::: School Locations ::: * myContacts,,,,,,,School Office,510-262-1500,,,,,,,,,School,"4138 Lakeside Drive
Richmond, Alameda County 94806
USA",4138 Lakeside Drive,Richmond,,Alameda County,94806,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,Tamalpais Union High School District,Address 1 - State,CA,,,,,,,,
,,,,,,,,,,Bayhill High School,,Autism Non-Public school,,,,Imported on 11/24 2 ::: School Locations ::: * myContacts,,,,,,,School Office,510-984-0599,,,,,,,,,School,"1940 Virginia St
Berkeley, Alameda County 94709
USA",1940 Virginia St,Berkeley,,Alameda County,94709,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,Tamalpais Union High School District,Address 1 - State,CA,,,,,,,,
,,,,,,,,,,North Valley School,,Non-Public School - Treatment Facility,,,,School Contacts ::: Imported on 11/24 ::: Teachers ::: * myContacts,,,,,,,Main,707-523-2334,,,,,,,,,School,"3164 Condo Court
Santa Rosa, Sonoma County 95403
USA",3164 Condo Court,Santa Rosa,,Sonoma County,95403,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,Petaluma City School,,,,,,,,,,
,,,,,,,,,,North Valley School,,Non-Public School - Treatment Facility,,,,Imported on 11/24 2 ::: School Locations ::: * myContacts,,,,,,,School Office,707-523-2334,,,,,,,,,School,"3164 Condo Court
Santa Rosa, Sonoma County 95403
USA",3164 Condo Court,Santa Rosa,,Sonoma County,95403,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,Petaluma City School,Address 1 - State,CA,,,,,,,,
,,,,,,,,,,Anova Center for Education,,Autism Non-Public school,,,,Imported on 11/24 2 ::: School Locations ::: * myContacts,,,,,,,School Office,707-542-8195,,,,,,,,,School,"212 Concourse Blvd
Santa Rosa, Sonoma County 95403
USA",212 Concourse Blvd,Santa Rosa,,Sonoma County,95403,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,"Petaluma City School, Kentfield School District",Address 1 - State,CA,,,,,,,,
,,,,,,,,,,Hanna Academy,,Non-Public School - Treatment Facility,,,,School Contacts ::: Imported on 11/24 ::: Teachers ::: * myContacts,,,,,,,Main,707-933-2560,,,,,,,,,School,"17000 Arnold Drive
Sonoma, Sonoma County 95476
USA",17000 Arnold Drive,Sonoma,,Sonoma County,95476,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,Novato Unified School District,,,,,,,,,,
,,,,,,,,,,Hanna Academy,,Non-Public School - Treatment Facility,,,,Imported on 11/24 2 ::: School Locations ::: * myContacts,,,,,,,School Office,707-933-2560,,,,,,,,,School,"17000 Arnold Drive
Sonoma, Sonoma County 95476
USA",17000 Arnold Drive,Sonoma,,Sonoma County,95476,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,Novato Unified School District,Address 1 - State,CA,,,,,,,,
,,,,,,,,,,Wellspring Educational Services,,Autism Non-Public school,,,,School Contacts ::: Imported on 11/24 ::: Teachers ::: * myContacts,,,,,,,Main,925-295-3080,,,,,,,,,School,"1543 Sunnyvale Ave
Walnut Creek, Alameda County 94957
USA",1543 Sunnyvale Ave,Walnut Creek,,Alameda County,94957,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,San Rafael City Schools - High School District,,,,,,,,,,
,,,,,,,,,,Wellspring Educational Services,,Autism Non-Public school,,,,Imported on 11/24 2 ::: School Locations ::: * myContacts,,,,,,,School Office,925-295-3080,,,,,,,,,School,"1543 Sunnyvale Ave
Walnut Creek, Alameda County 94957
USA",1543 Sunnyvale Ave,Walnut Creek,,Alameda County,94957,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,San Rafael City Schools - High School District,Address 1 - State,CA,,,,,,,,
,,,,,,,,,,Building Connections Academy,,Autism Non-Public School,,,,Imported on 11/24 2 ::: School Locations ::: * myContacts,,,,,,,School Office,925-365-9110,,,,,,,,,School,"2885 Concord Blvd
Concord, Alameda County 94519
USA",2885 Concord Blvd,Concord,,Alameda County,94519,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,Ross Elementary School District,Address 1 - State,CA,,,,,,,,
,,,,,,,,,,Building Connections Academy,,Autism Non-Public School,,,,School Contacts ::: Imported on 11/24 ::: Teachers ::: * myContacts,,,,,,,Main,925-365-9110,,,,,,,,,School,"2885 Concord Blvd
Concord, Alameda County 94519
USA",2885 Concord Blvd,Concord,,Alameda County,94519,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,Ross Elementary School District,,,,,,,,,,
Abby,,Zaehringer,,,,,,,,Hamilton Middle School,Elementary SPED Teacher,Bridge Program Classroom,,,,School Contacts ::: Imported on 11/24 ::: Teachers ::: * myContacts,* Work,azaehringer@marinschools.org,,,,,Mobile,805 766-3557,,,,,,,,,School,"5530 Nave Dr
Novato, Novato Unified School District 94949
USA",5530 Nave Dr,Novato,,Novato Unified School District,94949,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,Miller Creek,,,,,,,,,,
Abdelhade,Saleh,Salem,,,,,,,,Go Happy Transportation,Driver,,1971-11-22,"Driver_FirstNm: Abdelhade
Driver_MiddleNm: Saleh
Driver_LastNm: Salem
Driver_NickNm: Abdul
Driver_SS#: 353-64-4618
Driver_HmLocation1_Street: 104 Posada Del Sol
Driver_City: Novato
Driver_State: CA
Driver_ZIP: 94949
License_Zip_Code: 94949
Driver_Cell: 415-275-0040
Driver_DOB: 11/22/1971
Driver_Age: 53
DL/CDL #: E22766191
DL/CDL_St_of_Issue: CA
Driver_DL_Exp: 11/22/2027
Make: Toyota
Model: Camry
Color: Grey
Plate No: 7HFH610
VIN #: 4T1BD1FK2EU132703
Registration Expiration Date: 9/8/25
Reg_Vehicle_Owner (Y/N): Y
Auto Insurance Company: Allstate
Policy Number: 967-883-609
Policy Exp Dates: 12-7-24


Custom Field 1 - Label: CDL #
Custom Field 1 - Value: E22766191
Custom Field 2 - Label: DL_Exp
Custom Field 2 - Value: 11/22/2027
Custom Field 3 - Label: Contract Date
Custom Field 3 - Value: 8/9/2024
Custom Field 4 - Label: CDL_St_of_Issue
Custom Field 4 - Value: CA
Custom Field 5 - Label: License_Zip_Code
Custom Field 5 - Value: 94949
Custom Field 6 - Label: Vehicle_Year
Custom Field 6 - Value: 2014
Custom Field 7 - Label: Vehicle_Make
Custom Field 7- Value: Toyota
Custom Field 8 - Label: Vehicle_Model
Custom Field 8- Value: Camry
Custom Field 9 - Label: Vehicle_Color
Custom Field 9- Value: Grey
Custom Field 10 - Label: Vehicle_Plate No
Custom Field 10- Value: 7HFH610
Custom Field 11 - Label: Vehicle_VIN #
Custom Field 11 Value: 4T1BD1FK2EU132703
",https://lh3.googleusercontent.com/contacts/AG6tpzHkhIwxeJAp4N314k6wkfvYOJbcQl6P9uOEzSbXpwb1ISqVZTqH,Imported on 1/19 ::: GO HAPPY DRIVERS ::: Imported on 11/24 3 ::: * myContacts ::: * starred,* Home,sbsigns1@me.com,,,,,Mobile,415-275-0040,,,,,,,,,Home,"104 Posada Del Sol
Novato, CA 94949
US",104 Posada Del Sol,Novato,,CA,94949,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam,,Compton,,,,,,,,Anova Center,,,,,,GHT RIDERS 2025/26 ::: Imported on 11/24 1 ::: * myContacts,,,,,,,Dad Mobile,916-225-2019,School Office,707-542-8195,,,,,,,Home,"1051 Las Raposas Rd
San Rafael, CA 94903-2380
US","1051 Las Raposas Rd
San Rafael, CA 94903-2380
US",,,,,,,Anova Center,"212 Concourse Blvd
Santa Rosa, CA 95403-8210
US","212 Concourse Blvd
Santa Rosa, CA 95403-8210
US",,,,,,,,,,,,,,,,Rider,Evander Compton,Mom,Arwin Compton,Dad,Adam Compton,,,,,,,,,,,,,,,Rider FirstNm,Evander,Rider LastNm,Compton,Job Title,Evander Compton Parent,,,,,,
Adam,,Compton,,,,Evander Compton Parent,,,,Anova Center,,,,"Rider_FirstNm: Evander
Rider_LastNm: Compton
1051 Las Rapodas
San Rafael
94903
",,GO HAPPY RIDERS ::: GHT RIDERS 2025/26 ::: * myContacts ::: * starred,,,,,,,Work Mobile,916-225-2019,,,,,,,,,,"1051 Las Raposas Rd
San Rafael, CA 94903-2380
US",1051 Las Raposas Rd,San Rafael,,CA,94903-2380,US,,Anova Center,"212 Concourse Blvd
Santa Rosa, CA 95403-8210
US",212 Concourse Blvd,Santa Rosa,,CA,95403-8210,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam,,Rosenblum,,,,,,,,Hamilton School TK - 8,,,2017-05-25,,,GHT RIDERS 2025/26 ::: Imported on 11/24 1 ::: * myContacts,,,,,,,Dad Mobile,201-615-5117,School Office,415 883-4691,Teacher Mobile,805 766-3557,,,,,Home,"32 Terrace Dr
Sausalito, CA 94965-4002
US","32 Terrace Dr
Sausalito, CA 94965-4002
US",,,,,,,Hamilton Elementary,"5530 Nave Dr
Novato, CA 94949
US","5530 Nave Dr
Novato, CA 94949
US",,,,,,,,,,,,,,,,Rider,Mara Rosenblum,Mom,Malerie Rosenblum,Dad,Adam Rosenblum,,,,,,,,,,,,,,,Rider FirstNm,Mara,Rider LastNm,Rosenblum,Job Title,Mara Rosenblum Parent,,,,,,
Adam,,Rosenblum,,,,Mara Rosenblum Parent,,,,Hamilton School TK - 8,,,,"Rider_FirstNm: Mara
Rider_LastNm: Rosenblum
32 Terrace Drive
Marin City
94949
",,Imported on 11/19 ::: GO HAPPY RIDERS ::: GHT RIDERS 2025/26 ::: Imported on 11/19 1 ::: * myContacts ::: * starred,,,,,,,Work Mobile,201-615-5117,,,,,,,,,,"32 Terrace Dr
Sausalito, CA 94965-4002
US",32 Terrace Dr,Sausalito,,CA,94965-4002,US,,Hamilton Elementary,"5530 Nave Dr
Novato, CA 94949
US",5530 Nave Dr,Novato,,CA,94949,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adriana,,Tortladze,,,,,,,,Sandro Mom,,,,,,* myContacts,,,,,,,Mobile,(415) 699-4159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aghanemom,,Mykarelly Vaz Dos Santos,,,,,,,,Go Happy Transportation,Go Happy Driver,,1995-04-17,"Custom Field 1 - Label: CDL #
Custom Field 1 - Value: Y8073935
Custom Field 2 - Label: DL_Exp
Custom Field 2 - Value: 4/17/2027
Custom Field 3 - Label: Contract Date
Custom Field 3 - Value: 8/10/2022
Custom Field 4 - Label: CDL_St_of_Issue
Custom Field 4 - Value: CA
Custom Field 5 - Label: License_Zip_Code
Custom Field 5 - Value: 94954
Custom Field 6 - Label: Vehicle_Year
Custom Field 6 - Value: 2025
Custom Field 7 - Label: Vehicle_Make
Custom Field 7- Value: Toyota
Custom Field 8 - Label: Vehicle_Model
Custom Field 8- Value: Corolla
Custom Field 9 - Label: Vehicle_Color
Custom Field 9- Value: Silver
Custom Field 10 - Label: Vehicle_Plate No
Custom Field 10- Value: DZ72U59
Custom Field 11 - Label: Vehicle_VIN #
Custom Field 11 Value: JTDBCMFE6SJ044365
",,Imported on 11/24 3 ::: * myContacts,* Other,aghanemom@gmail.com,,,,,Home,707-971-6943,,,,,,,,,Home,"1053 S McDowell Blvd
Petaluma, CA 94954",1053 S McDowell Blvd,Petaluma,,CA,94954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aghanemon,,Dos Santos,,,,,,,,Go Happy Transportation,Driver,,1995-04-17,"Driver_FirstNm: Aghanemom
Driver_LastNm: Mykarelly Vaz Dos Santos
Driver_SS#: 672-64-8970
Driver_HmLocation1_Street: 1053 S McDowell Blvd
Driver_City: Petaluma
Driver_State: CA
Driver_ZIP: 94954-5433
License_Zip_Code: 94954
Driver_Cell: 707-971-6943
Driver_DOB: 4/17/1995
Driver_Age: 29
DL/CDL #: Y8073935
DL/CDL_St_of_Issue: CA
Driver_DL_Exp: 4/17/2027
Make: Ford
Model: C-Max
Color: Grey
Plate No: 8ACR725
VIN #: 1FADP5EU2HL115334
Registration Expiration Date: 9/16/25
Reg_Vehicle_Owner (Y/N): Y
Auto Insurance Company: AAA
Policy Number: CAAS228617736
Policy Exp Dates: 2-12-25
",https://lh3.googleusercontent.com/contacts/AG6tpzGkPFABJyM0eT6U3Ppmzm8uGlLzeZVlFj3Rt5G6jEYKke22luWn,Imported on 1/19 ::: GO HAPPY DRIVERS ::: * myContacts ::: * starred,* ,aghanemom@gmail.com,,,,,Mobile,(707) 971-6943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua,,Jean,Aghe,,,,,,,Irene Hunt,,,,,,GO HAPPY RIDERS ::: * myContacts,,,,,,,,415-942-3769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taylor,,Wimmer,Aghe,,,,,,,Compass School,,,,,,GO HAPPY RIDERS ::: * myContacts,,,,,,,,415-726-4380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aide 1,,,,,,,,,,Lucas Valley Elementary School,,Bridge Program Classroom,,,,School Contacts ::: Imported on 11/24 ::: Teachers ::: * myContacts,,,,,,,,510-837-4104,,,,,,,,,School,"1175 Idylberry Road
San Rafael, Miller Creek School District 94903
USA",1175 Idylberry Road,San Rafael,,Miller Creek School District,94903,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,"MPTA, Miller Creek School District",,,,,,,,,,
Aide 1,,,,,,,,,,Lucas Valley Elementary School,,Bridge Program Classroom,,,,School Contacts ::: Imported on 11/24 ::: Teachers ::: * myContacts,,,,,,,Mobile,415-360-4431,,,,,,,,,School,"1175 Idylberry Road
San Rafael, Miller Creek School District 94903
USA",1175 Idylberry Road,San Rafael,,Miller Creek School District,94903,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,"MPTA, Miller Creek School District",,,,,,,,,,
Aide 2,,,,,,,,,,Lucas Valley Elementary School,,Bridge Program Classroom,,,,School Contacts ::: Imported on 11/24 ::: Teachers ::: * myContacts,,,,,,,Mobile,415 748-1626,,,,,,,,,School,"1175 Idylberry Road
San Rafael, Miller Creek School District 94903
USA",1175 Idylberry Road,San Rafael,,Miller Creek School District,94903,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,"MPTA, Miller Creek School District",,,,,,,,,,
Alani,,,,,,,,,,Go Happy Cab Driver - Former,,,,,,* myContacts,,,,,,,Mobile,+1 (415) 559-4944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex ,,Alfaro,,,,,,,,Sun Valley Elementary,Sun Valley Community Liaison,San Rafael Elementary School District,,,,School Contacts ::: Imported on 11/24 ::: Teachers ::: * myContacts,,,,,,,Classroom,415 485-2440,,,,,,,,,School,"75 Happy Lane
San Rafael, San Rafael City Schools 94901
USA",75 Happy Lane,San Rafael,,San Rafael City Schools,94901,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,San Rafael City Schools - HFY,,,,,,,,,,
Alex,,Oredepa,,,,,,,,Hot Tub Electrician,,,,,,* myContacts,,,,,,,Main,+14152615759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexa,,Ochoa,,,,,,,,Go Happy Transportation,Driver,,2003-03-16,"Driver_FirstNm: Alexa
Driver_LastNm: Ochoa
Driver_SS#: 604-39-5991
Driver_HmLocation1_Street: 13 Edwards Court
Driver_City: Novato
Driver_State: CA
Driver_ZIP: 94949-6427
License_Zip_Code: 94949
Driver_Cell: 415-996-3149
Driver_DOB: 3/16/2003
Driver_Age: 21
DL/CDL #: Y4316657
DL/CDL_St_of_Issue: CA
Driver_DL_Exp: 3/16/2028
Make: Acura
Model: SUV
Color: Grey
Plate No: 7JRC256
VIN #: 19UUB2F58FA009642
Registration Expiration Date: 1/2/25
Reg_Vehicle_Owner (Y/N): N
Auto Insurance Company: AAA
Policy Number: CAAS209717946
Policy Exp Dates: 9-23-25
",https://lh3.googleusercontent.com/contacts/AG6tpzH9PwdGCNhU7iCiChS98zadyUodu8EVM_g1Yk-8dIeCf4qA1jrQ,Imported on 1/19 ::: GO HAPPY DRIVERS ::: * myContacts ::: * starred,* Home,alexaochoa17@icloud.com,,,,,Mobile,415-996-3149 ::: (415) 996-3149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander,,,,,,,,,,New housekeeper,,,,,,* myContacts,,,,,,,Main,+14158719118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander,,O'Hare,,,,,,,,,,,2018-02-21,,,* myContacts,* Mom Email,bellefeuille@gmail.com,Dad Email,tommyohare@gmail.com,,,Mom Mobile,415-521-0569,Dad Mobile,415-450-5031,,,,,,,Home,"47 Willow Ln
Sausalito, CA 94965-1533
US",47 Willow Ln,Sausalito,,CA,94965-1533,US,,Cesar Cavez Elementary,"825 Shotwell St
San Francisco, CA 94110-3212
US",825 Shotwell St,San Francisco,,CA,94110-3212,US,,,,,,,,,,,Mom,Nicole Bellefeville,Dad,Thomas O'Hare,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander,,Rodas,,,,,,,,Indian Valley College,,,2005-07-08,,,GHT RIDERS 2025/26 ::: Imported on 11/24 1 ::: * myContacts,,,,,,,Dad Mobile,415-532-4948,Teacher Mobile,415 844-3144,,,,,,,Home,"159 Novato St
San Rafael, CA 94901-4634
US","159 Novato St
San Rafael, CA 94901-4634
US",,,,,,,Indian Valley College,"1800 Ignacio Blvd
Novato, CA 94949
US","1800 Ignacio Blvd
Novato, CA 94949
US",,,,,,,,,,,,,,,,Rider,Riely Rodas,Mom,Krisman Mazariegos,Dad,Alexander Rodas,,,,,,,,,,,,,,,Rider FirstNm,Riely,Rider LastNm,Rodas,Job Title,Riely Rodas Parent,,,,,,
Alexander,,Rodas,,,,Riely Rodas Parent,,,,Indian Valley College,,,,"Rider_FirstNm: Riely
Rider_LastNm: Rodas
159 Novato Street 
#1
 San Rafael 
94949
",,Imported on 11/19 ::: GO HAPPY RIDERS ::: GHT RIDERS 2025/26 ::: Imported on 11/19 1 ::: * myContacts ::: * starred,,,,,,,Work Mobile,415-532-4948,,,,,,,,,,"159 Novato St
San Rafael, CA 94901-4634
US",159 Novato St,San Rafael,,CA,94901-4634,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandre,,Magalhaes Nery,,,,,,,,Go Happy Transportation,Go Happy Driver,,1977-02-09,"Custom Field 1 - Label: CDL #
Custom Field 1 - Value: Y3642380
Custom Field 2 - Label: DL_Exp
Custom Field 2 - Value: 2/9/2030
Custom Field 3 - Label: Contract Date
Custom Field 3 - Value: 11/19/2024
Custom Field 4 - Label: CDL_St_of_Issue
Custom Field 4 - Value: CA
Custom Field 5 - Label: License_Zip_Code
Custom Field 5 - Value: 94904
Custom Field 6 - Label: Vehicle_Year
Custom Field 6 - Value: 2016
Custom Field 7 - Label: Vehicle_Make
Custom Field 7- Value: Toyota
Custom Field 8 - Label: Vehicle_Model
Custom Field 8- Value: Prius
Custom Field 9 - Label: Vehicle_Color
Custom Field 9- Value: Silver
Custom Field 10 - Label: Vehicle_Plate No
Custom Field 10- Value: 9HSU623
Custom Field 11 - Label: Vehicle_VIN #
Custom Field 11 Value: JTDKARFUXG3526830
",,Imported on 11/24 3 ::: * myContacts,* Other,alexandrenery@hotmail.com,,,,,Home,415-849-8601,,,,,,,,,Home,"343 Via Casitas
Greenbrae, CA 94904",343 Via Casitas,Greenbrae,,CA,94904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandre,,Nascimento Carvalho,,,,,,,,Go Happy Transportation,Go Happy Driver,,1988-10-12,"Street address line 2: Apt. 15
Custom Field 1 - Label: CDL #
Custom Field 1 - Value: W9406835
Custom Field 2 - Label: DL_Exp
Custom Field 2 - Value: 10/12/2028
Custom Field 3 - Label: Contract Date
Custom Field 3 - Value: 9/16/2025
Custom Field 4 - Label: CDL_St_of_Issue
Custom Field 4 - Value: CA
Custom Field 5 - Label: License_Zip_Code
Custom Field 5 - Value: 94949
Custom Field 6 - Label: Vehicle_Year
Custom Field 6 - Value: 2019
Custom Field 7 - Label: Vehicle_Make
Custom Field 7- Value: Ford
Custom Field 8 - Label: Vehicle_Model
Custom Field 8- Value: Fusion
Custom Field 9 - Label: Vehicle_Color
Custom Field 9- Value: Silver
Custom Field 10 - Label: Vehicle_Plate No
Custom Field 10- Value: 9LQN593
Custom Field 11 - Label: Vehicle_VIN #
Custom Field 11 Value: 3FA6P0RU1KR268866
",,Imported on 11/24 3 ::: * myContacts,* Other,alexandrecarvalho06@icloud.com,,,,,Home,415-612-7896,,,,,,,,,Home,"1007 Green Oak Drive
Novato, CA 94949",1007 Green Oak Drive,Novato,,CA,94949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandre,,Nery,,,,,,,,Go Happy Transportation,Driver,,1977-02-09,"Driver_FirstNm: Alexandre
Driver_LastNm: Magalhaes Nery
Driver_SS#: 948-96-5430
Driver_HmLocation1_Street: 343 Via Casitas
Driver_City: Greenbrae
Driver_State: CA
Driver_ZIP: 94904-2353
Driver_Cell: 415-849-8601
Driver_DOB: 2/9/1977
Driver_Age: 47
DL/CDL #: Y3642380
DL/CDL_St_of_Issue: CA
Driver_DL_Exp: 2/9/2025
Make: Toyota
Model: Prius
Color: Silver
Plate No: 9HSU623
VIN #: JTDKARFUXG3526830
Registration Expiration Date: 10/10/25
Reg_Vehicle_Owner (Y/N): Y
Auto Insurance Company: Allstate
Policy Number: 967781415
Policy Exp Dates: 1-12-25
",,Imported on 1/19 ::: GO HAPPY DRIVERS ::: * myContacts,* Other,alexandrenery@hotmail.com,,,,,,415-849-8601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
